question,textA,textB,correct
以下哪個才是「角色」的正確讀音？,ㄐㄩㄝˊ色,ㄐㄧㄠˇ色,A
以下哪個才是「下載」的正確讀音？,ㄒㄧㄚˋㄗㄞˋ,ㄒㄧㄚˋㄗㄞˇ,A
以下哪個才是「龜裂」的正確讀音？,ㄐㄩㄣ裂,ㄍㄨㄟ裂,A
以下哪個才是「嫉妒」的正確讀音？,ㄐㄧˊ妒,ㄐㄧˋ妒,A
以下哪個才是「氛圍」的正確讀音？,ㄈㄣ圍,ㄈㄣˋ圍,A
以下哪個才是「給予」的正確讀音？,ㄐㄧˇㄩˇ,ㄍㄟˇㄩˇ,A
以下哪個才是「比較」的正確讀音？,ㄅㄧˇㄐㄧㄠˋ,ㄅㄧˋㄐㄧㄠˋ,A
以下哪個才是「呱呱墜地」的正確讀音？,ㄍㄨㄍㄨ,ㄍㄨㄚㄍㄨㄚ,A
以下哪個才是「咀嚼」的正確讀音？,ㄐㄩˇㄐㄩㄝˊ,ㄗㄨˇㄐㄩㄝˊ,A
以下哪個才是「參差」的正確讀音？,ㄘㄣㄘ,ㄘㄢㄔㄚ,A
以下哪個才是「蹣跚」的正確讀音？,ㄇㄢˊㄕㄢ,ㄆㄢˊㄕㄢ,A
以下哪個才是「睥睨」的正確讀音？,ㄆㄧˋㄋㄧˋ,ㄅㄧˋㄋㄧˋ,A
以下哪個才是「紕漏」的正確讀音？,ㄆㄧㄌㄡˋ,ㄅㄧㄌㄡˋ,A
以下哪個才是「恫嚇」的正確讀音？,ㄉㄨㄥˋㄏㄜˋ,ㄊㄨㄥˊㄏㄜˋ,A
以下哪個才是「拮据」的正確讀音？,ㄐㄧㄝˊㄐㄩ,ㄐㄧˊㄐㄩ,A
以下哪個才是「炙手可熱」的正確讀音？,ㄓˋ手可熱,ㄐㄧㄡˋ手可熱,A
以下哪個才是「憧憬」的正確讀音？,ㄔㄨㄥㄐㄧㄥˇ,ㄊㄨㄥˊㄐㄧㄥˇ,A
以下哪個才是「噱頭」的正確讀音？,ㄒㄩㄝˊ頭,ㄐㄩㄝˊ頭,A
以下哪個才是「蹉跎」的正確讀音？,ㄘㄨㄛㄊㄨㄛˊ,ㄔㄚㄊㄨㄛˊ,A
以下哪個才是「旖旎」的正確讀音？,ㄧˇㄋㄧˇ,ㄑㄧˇㄋㄧˇ,A
以下哪個才是「縈繞」的正確讀音？,ㄧㄥˊㄖㄠˋ,ㄖㄨㄥˊㄖㄠˋ,A
以下哪個才是「褻瀆」的正確讀音？,ㄒㄧㄝˋㄉㄨˊ,ㄒㄧㄝˋㄇㄞˋ,A
以下哪個才是「漣漪」的正確讀音？,ㄌㄧㄢˊㄧ,ㄌㄧㄢˊㄑㄧ,A
以下哪個才是「窠臼」的正確讀音？,ㄎㄜㄐㄧㄡˋ,ㄔㄠˊㄐㄧㄡˋ,A
以下哪個才是「倜儻」的正確讀音？,ㄊㄧˋㄊㄤˇ,ㄓㄡㄊㄤˇ,A
以下哪個才是「睚眥」的正確讀音？,ㄧㄚˊㄗˋ,ㄧㄚˊㄘˇ,A
以下哪個才是「莘莘學子」的正確讀音？,ㄕㄣ ㄕㄣ,ㄒㄧㄣ ㄒㄧㄣ,A
以下哪個才是「徜徉」的正確讀音？,ㄔㄤˊ ㄧㄤˊ,ㄊㄤˊ ㄧㄤˊ,A
以下哪個才是「剎那」的正確讀音？,ㄔㄚˋ ㄋㄚˋ,ㄕㄚ ㄋㄚˋ,A
以下哪個才是「桎梏」的正確讀音？,ㄓˋ ㄍㄨˋ,ㄓˋ ㄏㄠˋ,A
以下哪個才是「斡旋」的正確讀音？,ㄨㄛˋ ㄒㄩㄢˊ,ㄍㄢˋ ㄒㄩㄢˊ,A
以下哪個才是「邂逅」的正確讀音？,ㄒㄧㄝˋ ㄏㄡˋ,ㄐㄧㄝˋ ㄏㄡˋ,A
以下哪個才是「傀儡」的正確讀音？,ㄎㄨㄟˇ ㄌㄟˇ,ㄍㄨㄟˇ ㄌㄟˇ,A
以下哪個才是「危殆」的正確讀音？,ㄨㄟˊㄉㄞˋ,ㄨㄟㄉㄞˋ,A
以下哪個才是「紊亂」的正確讀音？,ㄨㄣˋㄌㄨㄢˋ,ㄨㄣˇㄌㄨㄢˋ,A
以下哪個才是「餽贈」的正確讀音？,ㄎㄨㄟˋㄗㄥˋ,ㄍㄨㄟˋㄗㄥˋ,A
以下哪個才是「覬覦」的正確讀音？,ㄐㄧˋㄩˊ,ㄎㄞˋㄩˊ,A
以下哪個才是「饕餮」的正確讀音？,ㄊㄠㄊㄧㄝˋ,ㄏㄠㄊㄧㄝˋ,A
以下哪個才是「魑魅魍魎」的正確讀音？,ㄔㄇㄟˋ,ㄌㄧˊㄇㄟˋ,A
以下哪個才是「泥淖」的正確讀音？,ㄋㄧˊㄋㄠˋ,ㄋㄧˊㄓㄠˋ,A
以下哪個才是「醞釀」的正確讀音？,ㄩㄣˋㄋㄧㄤˋ,ㄨㄣˋㄋㄧㄤˋ,A
以下哪個才是「慰藉」的正確讀音？,ㄨㄟˋㄐㄧㄝˋ,ㄨㄟˋㄐㄧˊ,A
以下哪個才是「雋永」的正確讀音？,ㄐㄩㄢˋㄩㄥˇ,ㄐㄩㄣˋㄩㄥˇ,A
以下哪個才是「剽悍」的正確讀音？,ㄆㄧㄠˋㄏㄢˋ,ㄅㄧㄠˋㄏㄢˋ,A
以下哪個才是「翩躚」的正確讀音？,ㄆㄧㄢㄒㄧㄢ,ㄆㄧㄢㄑㄧㄢ,A
以下哪個才是「雍容」的正確讀音？,ㄩㄥㄖㄨㄥˊ,ㄩㄥˇㄖㄨㄥˊ,A
以下哪個才是「聯袂」的正確讀音？,ㄌㄧㄢˊㄇㄟˋ,ㄌㄧㄢˊㄐㄩㄝˊ,A
以下哪個才是「寒暄」的正確讀音？,ㄏㄢˊㄒㄩㄢ,ㄏㄢˊㄋㄨㄢˇ,A
以下哪個才是「靦腆」的正確讀音？,ㄇㄧㄢˇㄊㄧㄢˇ,ㄉㄧㄢˇㄊㄧㄢˇ,A
以下哪個才是「揶揄」的正確讀音？,ㄧㄝˊㄩˊ,ㄧㄝˋㄩˊ,A
以下哪個才是「虔誠」的正確讀音？,ㄑㄧㄢˊㄔㄥˊ,ㄐㄧㄢㄔㄥˊ,A
以下哪個才是「婆娑」的正確讀音？,ㄆㄛˊㄙㄨㄛ,ㄆㄛˊㄕㄚ,A
以下哪個才是「砥礪」的正確讀音？,ㄉㄧˇㄌㄧˋ,ㄉㄧˇㄌㄞˋ,A
以下哪個才是「羈絆」的正確讀音？,ㄐㄧㄅㄢˋ,ㄐㄧˋㄅㄢˋ,A
以下哪個才是「醍醐灌頂」的正確讀音？,ㄊㄧˊㄏㄨˊ,ㄊㄧˋㄏㄨˊ,A
以下哪個才是「鞭辟入裡」的正確讀音？,ㄅㄧㄢㄆㄧˋ,ㄅㄧㄢㄅㄧˋ,A
以下哪個才是「一曝十寒」的正確讀音？,ㄧㄆㄨˋ,ㄧㄅㄠˋ,A
以下哪個才是「大腹便便」的正確讀音？,ㄆㄧㄢˊㄆㄧㄢˊ,ㄅㄧㄢˋㄅㄧㄢˋ,A
以下哪個才是「虛與委蛇」的正確讀音？,ㄧˊ,ㄕㄜˊ,A
以下哪個才是「暴虎馮河」的正確讀音？,ㄆㄧㄥˊ,ㄈㄥˊ,A
